req_id,titulo,escuela,categoria,fecha_publicacion,ubicacion_raw,salario_min,es_por_hora,pdf_url,email_contacto,deadline,descripcion_html,url_oferta,link_apply_directo
8190,PT-CLERICAL ASSISTANT 12M_BARBARA GOLEMAN SENI(1775100),BARBARA GOLEMAN SENI,Support Personnel,2025-11-14,"MIAMI LAKES, FL, US, 52008050",15.0,True,https://salary.dadeschools.net/jobdesc/8050.pdf,Verification@dadeschools.net,,"We use cookies to offer you the best possible website experience. Your cookie preferences will be stored in your browser’s local storage. This includes cookies necessary for the website's operation. Additionally, you can freely decide and change any time whether you accept cookies or choose to opt out of cookies to improve website's performance, as well as cookies used to display content tailored to your interests. Your experience of the site and the services we are able to offer may be impacted if you do not accept all cookies.
Modify Cookie Preferences
Accept All Cookies
Employment Opportunities
Applicant Resources
Employee Login
View Profile
Search by Keyword
Show More Options
  Clear
Select how often (in days) to receive an alert: Create Alert
Apply Now »
PT-CLERICAL ASSISTANT 12M_BARBARA GOLEMAN SENI(1775100)
Req ID:  8190
Posted On:  Nov 14, 2025
Category:  Support Personnel
Location:  MIAMI LAKES, FL, US, 52008050
  Miami-Dade County Public Schools (M-DCPS), an A-rated district, is the nation’s third largest school system with nearly 500 schools and a diverse enrollment of more than 335,500 students from over 160 countries. Our ongoing tradition of groundbreaking achievement has earned top recognition at the national and international levels and makes M-DCPS your best choice.
  We encourage you to submit/upload to your applicant profile attachments section any of the following documentation:
Resume
Cover letter
Letters of recommendation
Official transcripts (high school or college)
Certificate of competency (Skilled Trades)
Valid driver’s license
  Please upload any of the available documents to your attachments section.
  Official SEALED transcripts must be submitted to M-DCPS via one of the following: 
In Person U.S. Mail addressed to:
Miami-Dade County Public Schools, Transcript Desk,
1450 NE 2nd Avenue, Suite 150
Miami, FL 33132
  Electronic Mail to: Verification@dadeschools.net
You must use National Student Clearinghouse, Parchment, or eScrip-Safe to request an electronic transcript via email. Please note that not all colleges/universities participate in the electronic transcript exchange.
  Salary Minimum: $15.00 
  Job Description: https://salary.dadeschools.net/jobdesc/8050.pdf
-
We are an equal opportunity employer.
Apply Now »
Find similar jobs:
Support Personnel Opportunities
Terms of Use
Cookie Consent Manager
Contact Support for Profile Issues
2022 © Miami-Dade County Public Schools.",https://apply.dadeschools.net/job/MIAMI-LAKES-PT-CLERICAL-ASSISTANT-12M_BARBARA-GOLEMAN-SENI%281775100%29-FL-52008050/1335409500/,https://hcm41preview.sapsf.com/sf/careers/jobsearch?bplte_company=miamidadecT1
8046,FT-EARLY HEAD START EDUCATOR_MELROSE ELEMENTARY(1318100),MELROSE ELEMENTARY,Support Personnel,2025-12-05,"Miami, FL, US, 52008323",25750.0,False,https://salary.dadeschools.net/jobdesc/8323.pdf,Verification@dadeschools.net,,"We use cookies to offer you the best possible website experience. Your cookie preferences will be stored in your browser’s local storage. This includes cookies necessary for the website's operation. Additionally, you can freely decide and change any time whether you accept cookies or choose to opt out of cookies to improve website's performance, as well as cookies used to display content tailored to your interests. Your experience of the site and the services we are able to offer may be impacted if you do not accept all cookies.
Modify Cookie Preferences
Accept All Cookies
Employment Opportunities
Applicant Resources
Employee Login
View Profile
Search by Keyword
Show More Options
  Clear
Select how often (in days) to receive an alert: Create Alert
Apply Now »
FT-EARLY HEAD START EDUCATOR_MELROSE ELEMENTARY(1318100)
Req ID:  8046
Posted On:  Dec 5, 2025
Category:  Support Personnel
Location:  Miami, FL, US, 52008323
  Miami-Dade County Public Schools (M-DCPS), an A-rated district, is the nation’s third largest school system with nearly 500 schools and a diverse enrollment of more than 335,500 students from over 160 countries. Our ongoing tradition of groundbreaking achievement has earned top recognition at the national and international levels and makes M-DCPS your best choice.
  We encourage you to submit/upload to your applicant profile attachments section any of the following documentation:
Resume
Cover letter
Letters of recommendation
Official transcripts (high school or college)
Certificate of competency (Skilled Trades)
Valid driver’s license
  Please upload any of the available documents to your attachments section.
  Official SEALED transcripts must be submitted to M-DCPS via one of the following: 
In Person U.S. Mail addressed to:
Miami-Dade County Public Schools, Transcript Desk,
1450 NE 2nd Avenue, Suite 150
Miami, FL 33132
  Electronic Mail to: Verification@dadeschools.net
You must use National Student Clearinghouse, Parchment, or eScrip-Safe to request an electronic transcript via email. Please note that not all colleges/universities participate in the electronic transcript exchange.
  Salary Minimum: $25,750.00 
  Job Description: https://salary.dadeschools.net/jobdesc/8323.pdf
-
We are an equal opportunity employer.
Apply Now »
Find similar jobs:
Support Personnel Opportunities
Terms of Use
Cookie Consent Manager
Contact Support for Profile Issues
2022 © Miami-Dade County Public Schools.",https://apply.dadeschools.net/job/Miami-FT-EARLY-HEAD-START-EDUCATOR_MELROSE-ELEMENTARY%281318100%29-FL-52008323/1327825200/,https://hcm41preview.sapsf.com/sf/careers/jobsearch?bplte_company=miamidadecT1
613,PSYCHOLOGIST,General / District Wide,Instructional,2025-11-16,"Miami, FL, US",53053.0,False,,PersRecords@dadeschools.net,,"We use cookies to offer you the best possible website experience. Your cookie preferences will be stored in your browser’s local storage. This includes cookies necessary for the website's operation. Additionally, you can freely decide and change any time whether you accept cookies or choose to opt out of cookies to improve website's performance, as well as cookies used to display content tailored to your interests. Your experience of the site and the services we are able to offer may be impacted if you do not accept all cookies.
Modify Cookie Preferences
Accept All Cookies
Employment Opportunities
Applicant Resources
Employee Login
View Profile
Search by Keyword
Show More Options
  Clear
Select how often (in days) to receive an alert: Create Alert
Apply Now »
PSYCHOLOGIST
Req ID:  613
Posted On:  Nov 16, 2025
Category:  Instructional
Location:  Miami, FL, US
  Miami-Dade County Public Schools (M-DCPS), an A-rated district, is the nation’s third largest school system with nearly 500 schools and a diverse enrollment of more than 335,500 students from over 160 countries. Our ongoing tradition of groundbreaking achievement has earned top recognition at the national and international levels and makes M-DCPS your best choice.
    BASIC OBJECTIVES
The school psychologist functions as a member of the total educational team. The psychologist brings to the team specialized knowledge and skills related to learning processes, techniques of assessment of learning and social adjustment, research design, and modification of behaviors.
  JOB TASKS/RESPONSIBILITIES
1.  Assessment and Diagnosis: Completes a thorough psychological evaluation of each child referred to him/her. This evaluation may include the following tasks:
     - Observation of children in a classroom setting.
     - Administration of individual tests of intellectual aptitudes and academic achievement; tests that identify special aptitudes of mental process skills; and tests and inventories that measure emotional, social, and
     behavioral characteristics, and personality adjustment.
     - Interpret and integrate evaluation data and write comprehensive educationally relevant psychological reports.
 2.  Consultation: Use a consultation model in Child Study Team and staffing conferences which includes:
      - Consulting with teachers, student support personnel, administrators, parents, and other appropriate personnel regarding specific case referrals and provide recommendations for alternative strategies.
      - Design and/or provide teacher inservice training in such areas as classroom management, learning disabilities, etc.
      - Act as referral agents to school personnel, agencies, and parents.
3.  Counseling/Behavior Management: Use psychological techniques and learning principles to improve communication, socialization, adjustment, adaptations, and achievement by providing short-term counseling
     for students and assistance in developing behavior management programs for teachers.
4.  Research: Plan and/or participate in educational research aimed at improving instructional programs.
5.  Professional Development: Attend inservice meetings and conferences to enhance professional skills and aptitudes.
6.  Other Responsibilities: Perform other responsibilities as assigned by the immediate supervisor, Region Director for ESE, or the supervisor of Psychological Services.
  PHYSICAL REQUIREMENTS
This work requires the following physical activities: climbing, bending, stooping, kneeling, twisting, reaching, sitting, standing, walking, lifting, finger dexterity, grasping, repetitive motions, talking, hearing and visual acuity. The work is performed primarily indoors.
  MINIMUM QUALIFICATION REQUIREMENTS
1.  Current certification or evidence of certifiability in School Psychology by the State of Florida.
2.  Demonstration of good writing skills.
3.  Demonstration of ability to work cooperatively with others.
4.  Demonstrate a working knowledge of duties to be assigned.
    APPLICATION REQUIREMENTS
  To create your candidate profile, you will need to gather the following:
Personal information 
Current resume and work history
Certification information
For certification information, please visit https://www.hrdadeschools.net/certification/
  Official SEALED transcripts must be submitted to M-DCPS via one of the following: 
U.S. Mail addressed to:
Miami-Dade County Public Schools, Transcript Desk,
1450 NE 2nd Avenue, Suite 150
Miami, FL 33132
  Electronic Mail to: PersRecords@dadeschools.net
You must use National Student Clearinghouse, Parchment, or eScrip-Safe to request an electronic transcript via email. Please note that not all colleges/universities participate in the electronic transcript exchange.
  Two professional references:
Uploaded References must be on a letterhead OR on the District’s Reference Form (Printing T:\FORMS\3000\3506.FRP (dadeschools.net), have an original signature, and be dated within the last year from current or past supervisors or college professors.
  Starting Salary: $53,053.00*
*(includes 6% Referendum Retirement Accruing Supplement of $3,003)
New hires may be eligible to receive credit for verified years of experience, which can enhance their starting salary.
For more details, please refer to the Newly Hired/ Teachers Salary Schedule - Click Here
  Please use the link below for salary inquiries.
Salary Inquiry Request - Click here
  We are an equal opportunity employer.

Apply Now »
Find similar jobs:
Instructional Opportunities
Terms of Use
Cookie Consent Manager
Contact Support for Profile Issues
2022 © Miami-Dade County Public Schools.",https://apply.dadeschools.net/job/Miami-PSYCHOLOGIST-FL-33109/1110765000/,https://hcm41preview.sapsf.com/sf/careers/jobsearch?bplte_company=miamidadecT1
6245,FT-HEAD START ASSISTANT_CARRIE P. MEEK/WESTV(1590100),CARRIE P. MEEK/WESTV,Support Personnel,2025-11-14,"Miami, FL, US, 52008330",21169.0,False,https://salary.dadeschools.net/jobdesc/8330.pdf,PersRecords@dadeschools.net,,"We use cookies to offer you the best possible website experience. Your cookie preferences will be stored in your browser’s local storage. This includes cookies necessary for the website's operation. Additionally, you can freely decide and change any time whether you accept cookies or choose to opt out of cookies to improve website's performance, as well as cookies used to display content tailored to your interests. Your experience of the site and the services we are able to offer may be impacted if you do not accept all cookies.
Modify Cookie Preferences
Accept All Cookies
Employment Opportunities
Applicant Resources
Employee Login
View Profile
Search by Keyword
Show More Options
  Clear
Select how often (in days) to receive an alert: Create Alert
Apply Now »
FT-HEAD START ASSISTANT_CARRIE P. MEEK/WESTV(1590100)
Req ID:  6245
Posted On:  Nov 14, 2025
Category:  Support Personnel
Location:  Miami, FL, US, 52008330
  Miami-Dade County Public Schools (M-DCPS), an A-rated district, is the nation’s third largest school system with nearly 500 schools and a diverse enrollment of more than 335,500 students from over 160 countries. Our ongoing tradition of groundbreaking achievement has earned top recognition at the national and international levels and makes M-DCPS your best choice.
  We encourage you to submit/upload to your applicant profile attachments section any of the following documentation:
Resume
Cover letter
Letters of recommendation
Official transcripts (high school or college)
Certificate of competency (Skilled Trades)
Valid driver’s license
  Please upload any of the available documents to your attachments section.
  Official SEALED transcripts must be submitted to M-DCPS via one of the following: 
In Person U.S. Mail addressed to:
Miami-Dade County Public Schools, Transcript Desk,
1450 NE 2nd Avenue, Suite 150
Miami, FL 33132
  Electronic Mail to: PersRecords@dadeschools.net
You must use National Student Clearinghouse, Parchment, or eScrip-Safe to request an electronic transcript via email. Please note that not all colleges/universities participate in the electronic transcript exchange.
  Salary Minimum: $21,169.00 
  Job Description: https://salary.dadeschools.net/jobdesc/8330.pdf
-
We are an equal opportunity employer.
Apply Now »
Find similar jobs:
Support Personnel Opportunities
Terms of Use
Cookie Consent Manager
Contact Support for Profile Issues
2022 © Miami-Dade County Public Schools.",https://apply.dadeschools.net/job/Miami-FT-HEAD-START-ASSISTANT_CARRIE-P_-MEEKWESTV%281590100%29-FL-52008330/1264391700/,https://hcm41preview.sapsf.com/sf/careers/jobsearch?bplte_company=miamidadecT1
8401,PT- COACH_SOUTHWEST MIAMI SENI(1774100),SOUTHWEST MIAMI SENI,Support Personnel,2025-11-14,"MIAMI-DADE, FL, US, 52008888",80.0,True,,Verification@dadeschools.net,,"We use cookies to offer you the best possible website experience. Your cookie preferences will be stored in your browser’s local storage. This includes cookies necessary for the website's operation. Additionally, you can freely decide and change any time whether you accept cookies or choose to opt out of cookies to improve website's performance, as well as cookies used to display content tailored to your interests. Your experience of the site and the services we are able to offer may be impacted if you do not accept all cookies.
Modify Cookie Preferences
Accept All Cookies
Employment Opportunities
Applicant Resources
Employee Login
View Profile
Search by Keyword
Show More Options
  Clear
Select how often (in days) to receive an alert: Create Alert
Apply Now »
PT- COACH_SOUTHWEST MIAMI SENI(1774100)
Req ID:  8401
Posted On:  Nov 14, 2025
Category:  Support Personnel
Location:  MIAMI-DADE, FL, US, 52008888
  Miami-Dade County Public Schools (M-DCPS), an A-rated district, is the nation’s third largest school system with nearly 500 schools and a diverse enrollment of more than 335,500 students from over 160 countries. Our ongoing tradition of groundbreaking achievement has earned top recognition at the national and international levels and makes M-DCPS your best choice.
  We encourage you to submit/upload to your applicant profile attachments section any of the following documentation:
Resume
Cover letter
Letters of recommendation
Official transcripts (high school or college)
Certificate of competency (Skilled Trades)
Valid driver’s license
  Please upload any of the available documents to your attachments section.
  Official SEALED transcripts must be submitted to M-DCPS via one of the following: 
In Person U.S. Mail addressed to:
Miami-Dade County Public Schools, Transcript Desk,
1450 NE 2nd Avenue, Suite 150
Miami, FL 33132
  Electronic Mail to: Verification@dadeschools.net
You must use National Student Clearinghouse, Parchment, or eScrip-Safe to request an electronic transcript via email. Please note that not all colleges/universities participate in the electronic transcript exchange.
  Salary Minimum: $80.00 
  Job Description:
-
We are an equal opportunity employer.
Apply Now »
Find similar jobs:
Support Personnel Opportunities
Terms of Use
Cookie Consent Manager
Contact Support for Profile Issues
2022 © Miami-Dade County Public Schools.",https://apply.dadeschools.net/job/MIAMI-DADE-PT-COACH_SOUTHWEST-MIAMI-SENI%281774100%29-FL-52008888/1343088000/,https://hcm41preview.sapsf.com/sf/careers/jobsearch?bplte_company=miamidadecT1
8500,FT-PARA BEHAVIORAL_REDLAND ELEMENTARY S(1458100),REDLAND ELEMENTARY S,Support Personnel,2025-12-05,"Homestead, FL, US, 52004267",21169.0,False,https://salary.dadeschools.net/jobdesc/4267.pdf,Verification@dadeschools.net,,"We use cookies to offer you the best possible website experience. Your cookie preferences will be stored in your browser’s local storage. This includes cookies necessary for the website's operation. Additionally, you can freely decide and change any time whether you accept cookies or choose to opt out of cookies to improve website's performance, as well as cookies used to display content tailored to your interests. Your experience of the site and the services we are able to offer may be impacted if you do not accept all cookies.
Modify Cookie Preferences
Accept All Cookies
Employment Opportunities
Applicant Resources
Employee Login
View Profile
Search by Keyword
Show More Options
  Clear
Select how often (in days) to receive an alert: Create Alert
Apply Now »
FT-PARA BEHAVIORAL_REDLAND ELEMENTARY S(1458100)
Req ID:  8500
Posted On:  Dec 5, 2025
Category:  Support Personnel
Location:  Homestead, FL, US, 52004267
  Miami-Dade County Public Schools (M-DCPS), an A-rated district, is the nation’s third largest school system with nearly 500 schools and a diverse enrollment of more than 335,500 students from over 160 countries. Our ongoing tradition of groundbreaking achievement has earned top recognition at the national and international levels and makes M-DCPS your best choice.
  We encourage you to submit/upload to your applicant profile attachments section any of the following documentation:
Resume
Cover letter
Letters of recommendation
Official transcripts (high school or college)
Certificate of competency (Skilled Trades)
Valid driver’s license
  Please upload any of the available documents to your attachments section.
  Official SEALED transcripts must be submitted to M-DCPS via one of the following: 
In Person U.S. Mail addressed to:
Miami-Dade County Public Schools, Transcript Desk,
1450 NE 2nd Avenue, Suite 150
Miami, FL 33132
  Electronic Mail to: Verification@dadeschools.net
You must use National Student Clearinghouse, Parchment, or eScrip-Safe to request an electronic transcript via email. Please note that not all colleges/universities participate in the electronic transcript exchange.
  Salary Minimum: $21,169.00 
  Job Description: https://salary.dadeschools.net/jobdesc/4267.pdf
-
We are an equal opportunity employer.
Apply Now »
Find similar jobs:
Support Personnel Opportunities
Terms of Use
Cookie Consent Manager
Contact Support for Profile Issues
2022 © Miami-Dade County Public Schools.",https://apply.dadeschools.net/job/Homestead-FT-PARA-BEHAVIORAL_REDLAND-ELEMENTARY-S%281458100%29-FL-52004267/1347732400/,https://hcm41preview.sapsf.com/sf/careers/jobsearch?bplte_company=miamidadecT1
8390,FT-SCHOOL SECURITY MONITOR_MIAMI NORLAND SENIOR(1738100),MIAMI NORLAND SENIOR,Support Personnel,2025-11-13,"MIAMI, FL, FL, US, 52008010",22059.0,False,https://salary.dadeschools.net/jobdesc/8010.pdf,Verification@dadeschools.net,,"We use cookies to offer you the best possible website experience. Your cookie preferences will be stored in your browser’s local storage. This includes cookies necessary for the website's operation. Additionally, you can freely decide and change any time whether you accept cookies or choose to opt out of cookies to improve website's performance, as well as cookies used to display content tailored to your interests. Your experience of the site and the services we are able to offer may be impacted if you do not accept all cookies.
Modify Cookie Preferences
Accept All Cookies
Employment Opportunities
Applicant Resources
Employee Login
View Profile
Search by Keyword
Show More Options
  Clear
Select how often (in days) to receive an alert: Create Alert
Apply Now »
FT-SCHOOL SECURITY MONITOR_MIAMI NORLAND SENIOR(1738100)
Req ID:  8390
Posted On:  Nov 13, 2025
Category:  Support Personnel
Location:  MIAMI, FL, FL, US, 52008010
  Miami-Dade County Public Schools (M-DCPS), an A-rated district, is the nation’s third largest school system with nearly 500 schools and a diverse enrollment of more than 335,500 students from over 160 countries. Our ongoing tradition of groundbreaking achievement has earned top recognition at the national and international levels and makes M-DCPS your best choice.
  We encourage you to submit/upload to your applicant profile attachments section any of the following documentation:
Resume
Cover letter
Letters of recommendation
Official transcripts (high school or college)
Certificate of competency (Skilled Trades)
Valid driver’s license
  Please upload any of the available documents to your attachments section.
  Official SEALED transcripts must be submitted to M-DCPS via one of the following: 
In Person U.S. Mail addressed to:
Miami-Dade County Public Schools, Transcript Desk,
1450 NE 2nd Avenue, Suite 150
Miami, FL 33132
  Electronic Mail to: Verification@dadeschools.net
You must use National Student Clearinghouse, Parchment, or eScrip-Safe to request an electronic transcript via email. Please note that not all colleges/universities participate in the electronic transcript exchange.
  Salary Minimum: $22,059.00 
  Job Description: https://salary.dadeschools.net/jobdesc/8010.pdf
-
We are an equal opportunity employer.
Apply Now »
Find similar jobs:
Support Personnel Opportunities
Terms of Use
Cookie Consent Manager
Contact Support for Profile Issues
2022 © Miami-Dade County Public Schools.",https://apply.dadeschools.net/job/MIAMI%2C-FL-FT-SCHOOL-SECURITY-MONITOR_MIAMI-NORLAND-SENIOR%281738100%29-FL-52008010/1342745700/,https://hcm41preview.sapsf.com/sf/careers/jobsearch?bplte_company=miamidadecT1
2520,FT PARA I-THERAPEU(P)_MIAMI SOUTHRIDGE SEN(1773100),MIAMI SOUTHRIDGE SEN,Support Personnel,2025-12-05,"MIAMI-DADE, FL, US, 52004292",20959.0,False,https://salary.dadeschools.net/jobdesc/4292.pdf,PersRecords@dadeschools.net,,"We use cookies to offer you the best possible website experience. Your cookie preferences will be stored in your browser’s local storage. This includes cookies necessary for the website's operation. Additionally, you can freely decide and change any time whether you accept cookies or choose to opt out of cookies to improve website's performance, as well as cookies used to display content tailored to your interests. Your experience of the site and the services we are able to offer may be impacted if you do not accept all cookies.
Modify Cookie Preferences
Accept All Cookies
Employment Opportunities
Applicant Resources
Employee Login
View Profile
Search by Keyword
Show More Options
  Clear
Select how often (in days) to receive an alert: Create Alert
Apply Now »
FT PARA I-THERAPEU(P)_MIAMI SOUTHRIDGE SEN(1773100)
Req ID:  2520
Posted On:  Dec 5, 2025
Category:  Support Personnel
Location:  MIAMI-DADE, FL, US, 52004292
  Miami-Dade County Public Schools (M-DCPS), an A-rated district, is the nation’s third largest school system with nearly 500 schools and a diverse enrollment of more than 335,500 students from over 160 countries. Our ongoing tradition of groundbreaking achievement has earned top recognition at the national and international levels and makes M-DCPS your best choice.
  We encourage you to submit/upload to your applicant profile attachments section any of the following documentation:
Resume
Cover letter
Letters of recommendation
Official transcripts (high school or college)
Certificate of competency (Skilled Trades)
Valid driver’s license
  Please upload any of the available documents to your attachments section.
  Official SEALED transcripts must be submitted to M-DCPS via one of the following: 
In Person U.S. Mail addressed to:
Miami-Dade County Public Schools, Transcript Desk,
1450 NE 2nd Avenue, Suite 150
Miami, FL 33132
  Electronic Mail to: PersRecords@dadeschools.net
You must use National Student Clearinghouse, Parchment, or eScrip-Safe to request an electronic transcript via email. Please note that not all colleges/universities participate in the electronic transcript exchange.
  Salary Minimum: $20,959.00 
  Job Detail: https://salary.dadeschools.net/jobdesc/4292.pdf
-
We are an equal opportunity employer.
Apply Now »
Find similar jobs:
Support Personnel Opportunities
Terms of Use
Cookie Consent Manager
Contact Support for Profile Issues
2022 © Miami-Dade County Public Schools.",https://apply.dadeschools.net/job/MIAMI-DADE-FT-PARA-I-THERAPEU%28P%29_MIAMI-SOUTHRIDGE-SEN%281773100%29-FL-52004292/1178922300/,https://hcm41preview.sapsf.com/sf/careers/jobsearch?bplte_company=miamidadecT1
618,SCIENCE (CHEMISTRY) TEACHER,General / District Wide,Instructional,2025-11-16,"Miami, FL, US",53053.0,False,,PersRecords@dadeschools.net,,"We use cookies to offer you the best possible website experience. Your cookie preferences will be stored in your browser’s local storage. This includes cookies necessary for the website's operation. Additionally, you can freely decide and change any time whether you accept cookies or choose to opt out of cookies to improve website's performance, as well as cookies used to display content tailored to your interests. Your experience of the site and the services we are able to offer may be impacted if you do not accept all cookies.
Modify Cookie Preferences
Accept All Cookies
Employment Opportunities
Applicant Resources
Employee Login
View Profile
Search by Keyword
Show More Options
  Clear
Select how often (in days) to receive an alert: Create Alert
Apply Now »
SCIENCE (CHEMISTRY) TEACHER
Req ID:  618
Posted On:  Nov 16, 2025
Category:  Instructional
Location:  Miami, FL, US
  Miami-Dade County Public Schools (M-DCPS), an A-rated district, is the nation’s third largest school system with nearly 500 schools and a diverse enrollment of more than 335,500 students from over 160 countries. Our ongoing tradition of groundbreaking achievement has earned top recognition at the national and international levels and makes M-DCPS your best choice.
    BASIC OBJECTIVES
This is a professional position responsible for the instruction of one or more subjects to K-12 school students.
 
JOB TASKS/RESPONSIBILITIES
1. Instructs students, using various teaching methods, including lectures and demonstrations.
2. Prepares course objectives and outline for course of study following curriculum guidelines.
3. Assigns lessons; assesses student's progress including homework assignments; and hears presentations.
4. Prepares and administers tests to evaluate pupil progress, records results, issues reports to inform parents of progress and assigns final grades.
5. Maintains attendance and grade records as required by school.
6. Counsels pupils when adjustment and academic problems arise.
7. Maintains discipline in the classroom.
8. Meets with parents to discuss pupils' academic, social and behavioral progress.
9. Participates in faculty and professional meetings, educational conferences and inservice classes.
10. Performs related work as required or as assigned by the supervising administrator or his/her designee.
 
PHYSICAL REQUIREMENTS
This is light work which requires the following physical activities: mobility, reaching, sitting, finger dexterity, lifting, grasping, repetitive motions, talking, hearing and visual acuity.
 
MINIMUM QUALIFICATION REQUIREMENTS
As specified in the State Statutes.
      APPLICATION REQUIREMENTS
  To create your candidate profile, you will need to gather the following:
Personal information 
Current resume and work history
Certification information
For certification information, please visit https://www.hrdadeschools.net/certification/
  Official SEALED transcripts must be submitted to M-DCPS via one of the following: 
U.S. Mail addressed to:
Miami-Dade County Public Schools, Transcript Desk,
1450 NE 2nd Avenue, Suite 150
Miami, FL 33132
  Electronic Mail to: PersRecords@dadeschools.net
You must use National Student Clearinghouse, Parchment, or eScrip-Safe to request an electronic transcript via email. Please note that not all colleges/universities participate in the electronic transcript exchange.
  Two professional references:
Uploaded References must be on a letterhead OR on the District’s Reference Form (Printing T:\FORMS\3000\3506.FRP (dadeschools.net), have an original signature, and be dated within the last year from current or past supervisors or college professors.
  Starting Salary: $53,053.00*
*(includes 6% Referendum Retirement Accruing Supplement of $3,003)
New hires may be eligible to receive credit for verified years of experience, which can enhance their starting salary.
For more details, please refer to the Newly Hired/ Teachers Salary Schedule - Click Here
  Please use the link below for salary inquiries.
Salary Inquiry Request - Click here
  We are an equal opportunity employer.
 
Apply Now »
Find similar jobs:
Instructional Opportunities
Terms of Use
Cookie Consent Manager
Contact Support for Profile Issues
2022 © Miami-Dade County Public Schools.",https://apply.dadeschools.net/job/Miami-SCIENCE-%28CHEMISTRY%29-TEACHER-FL-33109/1110783200/,https://hcm41preview.sapsf.com/sf/careers/jobsearch?bplte_company=miamidadecT1
8299,PT-COMM LIAISON SPECIALIST 12M_ROBERT MORGAN EDUCAT(1891100),ROBERT MORGAN EDUCAT,Support Personnel,2025-12-02,"MIAMI, FL, US, 52004248",26.56,True,https://salary.dadeschools.net/jobdesc/4248.pdf,Verification@dadeschools.net,,"We use cookies to offer you the best possible website experience. Your cookie preferences will be stored in your browser’s local storage. This includes cookies necessary for the website's operation. Additionally, you can freely decide and change any time whether you accept cookies or choose to opt out of cookies to improve website's performance, as well as cookies used to display content tailored to your interests. Your experience of the site and the services we are able to offer may be impacted if you do not accept all cookies.
Modify Cookie Preferences
Accept All Cookies
Employment Opportunities
Applicant Resources
Employee Login
View Profile
Search by Keyword
Show More Options
  Clear
Select how often (in days) to receive an alert: Create Alert
Apply Now »
PT-COMM LIAISON SPECIALIST 12M_ROBERT MORGAN EDUCAT(1891100)
Req ID:  8299
Posted On:  Dec 2, 2025
Category:  Support Personnel
Location:  MIAMI, FL, US, 52004248
  Miami-Dade County Public Schools (M-DCPS), an A-rated district, is the nation’s third largest school system with nearly 500 schools and a diverse enrollment of more than 335,500 students from over 160 countries. Our ongoing tradition of groundbreaking achievement has earned top recognition at the national and international levels and makes M-DCPS your best choice.
  We encourage you to submit/upload to your applicant profile attachments section any of the following documentation:
Resume
Cover letter
Letters of recommendation
Official transcripts (high school or college)
Certificate of competency (Skilled Trades)
Valid driver’s license
  Please upload any of the available documents to your attachments section.
  Official SEALED transcripts must be submitted to M-DCPS via one of the following: 
In Person U.S. Mail addressed to:
Miami-Dade County Public Schools, Transcript Desk,
1450 NE 2nd Avenue, Suite 150
Miami, FL 33132
  Electronic Mail to: Verification@dadeschools.net
You must use National Student Clearinghouse, Parchment, or eScrip-Safe to request an electronic transcript via email. Please note that not all colleges/universities participate in the electronic transcript exchange.
  Salary Minimum: $26.56 
  Job Description: https://salary.dadeschools.net/jobdesc/4248.pdf
-
We are an equal opportunity employer.
Apply Now »
Find similar jobs:
Support Personnel Opportunities
Terms of Use
Cookie Consent Manager
Contact Support for Profile Issues
2022 © Miami-Dade County Public Schools.",https://apply.dadeschools.net/job/MIAMI-PT-COMM-LIAISON-SPECIALIST-12M_ROBERT-MORGAN-EDUCAT%281891100%29-FL-52004248/1339831500/,https://hcm41preview.sapsf.com/sf/careers/jobsearch?bplte_company=miamidadecT1
